geolocation,Year,indicator,value,Target_Number
NCR: National Capital Region,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
NCR: National Capital Region,2016,1.4.1 Net SHS Enrolment Rate,55.32,1.4.
NCR: National Capital Region,2017,1.4.1 Net SHS Enrolment Rate,62.74,1.4.
NCR: National Capital Region,2018,1.4.1 Net SHS Enrolment Rate,68.63,1.4.
NCR: National Capital Region,2019,1.4.1 Net SHS Enrolment Rate,62.28,1.4.
NCR: National Capital Region,2020,1.4.1 Net SHS Enrolment Rate,56.4435,1.4.
NCR: National Capital Region,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
NCR: National Capital Region,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2016,1.4.1 Net SHS Enrolment Rate,51.11,1.4.
Region 1: Ilocos Region,2017,1.4.1 Net SHS Enrolment Rate,60.39,1.4.
Region 1: Ilocos Region,2018,1.4.1 Net SHS Enrolment Rate,64.06,1.4.
Region 1: Ilocos Region,2019,1.4.1 Net SHS Enrolment Rate,61.54,1.4.
Region 1: Ilocos Region,2020,1.4.1 Net SHS Enrolment Rate,65.6379,1.4.
Region 1: Ilocos Region,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 1: Ilocos Region,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2016,1.4.1 Net SHS Enrolment Rate,43.41,1.4.
Region 2: Cagayan Valley,2017,1.4.1 Net SHS Enrolment Rate,51.49,1.4.
Region 2: Cagayan Valley,2018,1.4.1 Net SHS Enrolment Rate,56.21,1.4.
Region 2: Cagayan Valley,2019,1.4.1 Net SHS Enrolment Rate,56.46,1.4.
Region 2: Cagayan Valley,2020,1.4.1 Net SHS Enrolment Rate,61.4433,1.4.
Region 2: Cagayan Valley,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 2: Cagayan Valley,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2016,1.4.1 Net SHS Enrolment Rate,47.96,1.4.
Region 3: Central Luzon,2017,1.4.1 Net SHS Enrolment Rate,55.99,1.4.
Region 3: Central Luzon,2018,1.4.1 Net SHS Enrolment Rate,60.19,1.4.
Region 3: Central Luzon,2019,1.4.1 Net SHS Enrolment Rate,58.03,1.4.
Region 3: Central Luzon,2020,1.4.1 Net SHS Enrolment Rate,60.0165,1.4.
Region 3: Central Luzon,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 3: Central Luzon,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2016,1.4.1 Net SHS Enrolment Rate,45.61,1.4.
Region 4A: CALABARZON,2017,1.4.1 Net SHS Enrolment Rate,53.9,1.4.
Region 4A: CALABARZON,2018,1.4.1 Net SHS Enrolment Rate,58.33,1.4.
Region 4A: CALABARZON,2019,1.4.1 Net SHS Enrolment Rate,54.79,1.4.
Region 4A: CALABARZON,2020,1.4.1 Net SHS Enrolment Rate,54.7999,1.4.
Region 4A: CALABARZON,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 4A: CALABARZON,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2016,1.4.1 Net SHS Enrolment Rate,28.35,1.4.
Region 5: Bicol Region,2017,1.4.1 Net SHS Enrolment Rate,39.63,1.4.
Region 5: Bicol Region,2018,1.4.1 Net SHS Enrolment Rate,45.8,1.4.
Region 5: Bicol Region,2019,1.4.1 Net SHS Enrolment Rate,42.31,1.4.
Region 5: Bicol Region,2020,1.4.1 Net SHS Enrolment Rate,43.518,1.4.
Region 5: Bicol Region,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 5: Bicol Region,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2016,1.4.1 Net SHS Enrolment Rate,32.54,1.4.
Region 6: Western Visayas,2017,1.4.1 Net SHS Enrolment Rate,44.17,1.4.
Region 6: Western Visayas,2018,1.4.1 Net SHS Enrolment Rate,49.74,1.4.
Region 6: Western Visayas,2019,1.4.1 Net SHS Enrolment Rate,44.22,1.4.
Region 6: Western Visayas,2020,1.4.1 Net SHS Enrolment Rate,48.2144,1.4.
Region 6: Western Visayas,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 6: Western Visayas,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2016,1.4.1 Net SHS Enrolment Rate,35.9,1.4.
Region 7: Central Visayas,2017,1.4.1 Net SHS Enrolment Rate,47.21,1.4.
Region 7: Central Visayas,2018,1.4.1 Net SHS Enrolment Rate,53.28,1.4.
Region 7: Central Visayas,2019,1.4.1 Net SHS Enrolment Rate,47.81,1.4.
Region 7: Central Visayas,2020,1.4.1 Net SHS Enrolment Rate,49.7072,1.4.
Region 7: Central Visayas,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 7: Central Visayas,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2016,1.4.1 Net SHS Enrolment Rate,28.15,1.4.
Region 8: Eastern Visayas,2017,1.4.1 Net SHS Enrolment Rate,38.02,1.4.
Region 8: Eastern Visayas,2018,1.4.1 Net SHS Enrolment Rate,43.2,1.4.
Region 8: Eastern Visayas,2019,1.4.1 Net SHS Enrolment Rate,42.08,1.4.
Region 8: Eastern Visayas,2020,1.4.1 Net SHS Enrolment Rate,48.2067,1.4.
Region 8: Eastern Visayas,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 8: Eastern Visayas,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2016,1.4.1 Net SHS Enrolment Rate,23.92,1.4.
Region 9: Zamboanga Peninsula,2017,1.4.1 Net SHS Enrolment Rate,30.4,1.4.
Region 9: Zamboanga Peninsula,2018,1.4.1 Net SHS Enrolment Rate,36.04,1.4.
Region 9: Zamboanga Peninsula,2019,1.4.1 Net SHS Enrolment Rate,34.43,1.4.
Region 9: Zamboanga Peninsula,2020,1.4.1 Net SHS Enrolment Rate,38.4532,1.4.
Region 9: Zamboanga Peninsula,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 9: Zamboanga Peninsula,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2016,1.4.1 Net SHS Enrolment Rate,28.97,1.4.
Region 10: Northern Mindanao,2017,1.4.1 Net SHS Enrolment Rate,37.31,1.4.
Region 10: Northern Mindanao,2018,1.4.1 Net SHS Enrolment Rate,41.87,1.4.
Region 10: Northern Mindanao,2019,1.4.1 Net SHS Enrolment Rate,38.05,1.4.
Region 10: Northern Mindanao,2020,1.4.1 Net SHS Enrolment Rate,41.2193,1.4.
Region 10: Northern Mindanao,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 10: Northern Mindanao,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2016,1.4.1 Net SHS Enrolment Rate,30.11,1.4.
Region 11: Davao Region,2017,1.4.1 Net SHS Enrolment Rate,38.26,1.4.
Region 11: Davao Region,2018,1.4.1 Net SHS Enrolment Rate,45.74,1.4.
Region 11: Davao Region,2019,1.4.1 Net SHS Enrolment Rate,41.53,1.4.
Region 11: Davao Region,2020,1.4.1 Net SHS Enrolment Rate,43.2965,1.4.
Region 11: Davao Region,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 11: Davao Region,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2016,1.4.1 Net SHS Enrolment Rate,26.9,1.4.
Region 12: SOCCSKSARGEN,2017,1.4.1 Net SHS Enrolment Rate,35.84,1.4.
Region 12: SOCCSKSARGEN,2018,1.4.1 Net SHS Enrolment Rate,41.5,1.4.
Region 12: SOCCSKSARGEN,2019,1.4.1 Net SHS Enrolment Rate,37.45,1.4.
Region 12: SOCCSKSARGEN,2020,1.4.1 Net SHS Enrolment Rate,40.54,1.4.
Region 12: SOCCSKSARGEN,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
Region 12: SOCCSKSARGEN,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2000,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2001,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2002,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2003,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2004,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2005,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2006,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2007,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2008,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2009,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2010,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2011,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2012,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2013,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2014,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2015,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2016,1.4.1 Net SHS Enrolment Rate,40.16,1.4.
CAR: Cordillera Administrative Region,2017,1.4.1 Net SHS Enrolment Rate,49.55,1.4.
CAR: Cordillera Administrative Region,2018,1.4.1 Net SHS Enrolment Rate,53.64,1.4.
CAR: Cordillera Administrative Region,2019,1.4.1 Net SHS Enrolment Rate,50.53,1.4.
CAR: Cordillera Administrative Region,2020,1.4.1 Net SHS Enrolment Rate,52.8763,1.4.
CAR: Cordillera Administrative Region,2021,1.4.1 Net SHS Enrolment Rate,,1.4.
CAR: Cordillera Administrative Region,2022,1.4.1 Net SHS Enrolment Rate,,1.4.
NCR: National Capital Region,2000,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2001,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2002,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2003,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2004,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2005,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2006,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2007,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2008,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2009,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2010,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2011,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2012,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2013,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2014,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2015,1.5.4 Proportion of LGU with DRR,,1.5.
NCR: National Capital Region,2016,1.5.4 Proportion of LGU with DRR,52.9,1.5.
